,,,,,,
Antigen Name,Antigen IRI,Organism Name,Organism IRI,# Epitopes,# Assays,# References
Other Onchocerca volvulus protein,https://ontology.iedb.org/taxon-protein/6282-other,Onchocerca volvulus,http://purl.obolibrary.org/obo/NCBITaxon_6282,1237,1251,5
Other Trypanosoma cruzi protein,https://ontology.iedb.org/taxon-protein/5693-other,Trypanosoma cruzi,http://purl.obolibrary.org/obo/NCBITaxon_5693,621,643,19
Uncharacterized protein (UniProt:A0A044UK00),http://www.uniprot.org/uniprot/A0A044UK00,Onchocerca volvulus,http://purl.obolibrary.org/obo/NCBITaxon_6282,431,431,1
Merozoite surface antigens,http://www.uniprot.org/uniprot/Q8I0U8,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,247,255,15
Glutamate-rich protein GLURP,http://www.uniprot.org/uniprot/Q8IJ56,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,177,207,8
Erythrocyte binding antigen-140,http://www.uniprot.org/uniprot/Q76NM5,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,170,172,2
"Surface antigen 2 (CA-2), putative (UniProt:Q4DX15)",http://www.uniprot.org/uniprot/Q4DX15,Trypanosoma cruzi,http://purl.obolibrary.org/obo/NCBITaxon_5693,163,166,6
Circumsporozoite protein,http://www.uniprot.org/uniprot/Q7K740,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,146,219,28
Other Toxoplasma gondii protein,https://ontology.iedb.org/taxon-protein/5811-other,Toxoplasma gondii,http://purl.obolibrary.org/obo/NCBITaxon_5811,128,249,11
Uncharacterized protein (UniProt:A0A044UVG8),http://www.uniprot.org/uniprot/A0A044UVG8,Onchocerca volvulus,http://purl.obolibrary.org/obo/NCBITaxon_6282,116,116,1
Erythrocyte binding antigen-175,http://www.uniprot.org/uniprot/Q8IBE8,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,104,105,4
PHD-type domain-containing protein,http://www.uniprot.org/uniprot/A0A044SS43,Onchocerca volvulus,http://purl.obolibrary.org/obo/NCBITaxon_6282,104,104,1
Erythrocyte binding antigen-181,http://www.uniprot.org/uniprot/Q8I2B4,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,100,100,1
High molecular weight rhoptry protein 2,http://www.uniprot.org/uniprot/C0H571,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,94,95,2
Cytoadherence linked asexual protein 3.2,http://www.uniprot.org/uniprot/O77309,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,94,94,1
Mature parasite-infected erythrocyte surface antigen,http://www.uniprot.org/uniprot/Q8I492,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,92,92,1
Gln-rich protein,http://www.uniprot.org/uniprot/A0A044VA40,Onchocerca volvulus,http://purl.obolibrary.org/obo/NCBITaxon_6282,90,99,2
Cytoadherence linked asexual protein 3.1,http://www.uniprot.org/uniprot/O77310,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,90,90,1
Asp f 2,http://www.uniprot.org/uniprot/P79017,Aspergillus fumigatus,http://purl.obolibrary.org/obo/NCBITaxon_746128,87,87,2
Cytoadherence linked asexual protein 2,http://www.uniprot.org/uniprot/O96279,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,86,86,1
Cytoadherence linked asexual protein 9,http://www.uniprot.org/uniprot/Q8I2G2,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,78,78,1
Apical membrane antigen 1,http://www.uniprot.org/uniprot/Q7KQK5,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,77,80,7
Serine-repeat antigen protein 5,http://www.uniprot.org/uniprot/Q9TY95,Plasmodium falciparum (malaria parasite P. falciparum),http://purl.obolibrary.org/obo/NCBITaxon_5833,76,78,6
