Organism,VEuPathDB Project,Genome Source,Genome Version/Assembly ID,Structural Annotation Version,Is Reference Strain,Contigs,Supercontigs,Chromosomes,Protein coding genes,Non Protein coding genes,Pseudogenes,User comments,Orthologs,GO terms,EC#,NCBI taxon ID,Organellar genome(s),Search Weight,Mega base Pairs,Structural Annotation Source,Species,Strain,ChIP chip,ESTs,Genes,Microarray,Popset Sequences,Proteomics
Edhazardia aedis USNM 41457,MicrosporidiaDB,GenBank,GCA_000230595.3,"Aug 05, 2015",yes,1429,0,0,4190,72,2,N/A,4190,2063,234,1003232,no,10,   51.35,GenBank,Edhazardia aedis,USNM 41457,N/A,119,4262,N/A,N/A,N/A
Aspergillus luchuensis IFO 4308,FungiDB,GenBank,GCA_000239835.2,"Oct 2, 2015",no,1016,146,0,11488,267,0,1,11488,8211,925,1033177,yes,10,   37.11,GenBank,Aspergillus luchuensis,IFO 4308,N/A,N/A,11755,N/A,47969,N/A
Epichloe glyceriae E277,FungiDB,INSDC,GCA_000225285.2,N/A,yes,3076,0,0,0,0,0,N/A,N/A,N/A,N/A,1035635,no,10,   46.72,N/A,Epichloe glyceriae,E277,N/A,N/A,N/A,N/A,N/A,N/A
Aspergillus versicolor CBS 583.65,FungiDB,GenBank,GCA_001890125.1,"Dec 07, 2016",yes,0,51,0,13222,142,0,N/A,13222,9346,1617,1036611,no,10,   33.13,GenBank,Aspergillus versicolor,CBS 583.65,N/A,N/A,13364,N/A,50416,N/A
Aspergillus sydowii CBS 593.65,FungiDB,GenBank,GCA_001890705.1,"Dec 08, 2016",yes,0,97,0,13579,138,0,N/A,13579,9355,1617,1036612,no,10,   34.38,GenBank,Aspergillus sydowii,CBS 593.65,N/A,N/A,13717,N/A,48761,N/A
Phytophthora cinnamomi var. cinnamomi CBS 144.22,FungiDB,JGI,1,1,yes,0,1314,0,26131,70,10,N/A,26131,8315,N/A,1048749,no,10,   77.97,JGI,Phytophthora cinnamomi,var. cinnamomi CBS 144.22,N/A,N/A,26201,N/A,73825,N/A
Trypanosoma vivax Y486,TriTrypDB,GenBank,GCA_000227375.1,"Jun 06, 2016",yes,8279,0,11,11012,1038,382,36,11012,6585,716,1055687,no,10,   47.51,GeneDB,Trypanosoma vivax,Y486,N/A,N/A,12050,N/A,29996,N/A
Trypanosoma congolense IL3000,TriTrypDB,GenBank,GCA_000227395.2,"Jun 06, 2016",yes,2828,0,11,11255,537,330,70,11255,7517,152,1068625,no,10,   41.37,GeneDB,Trypanosoma congolense,IL3000,N/A,4398,11792,N/A,31039,N/A
Aspergillus wentii DTO 134E9,FungiDB,GenBank,GCA_001890725.1,"Dec 08, 2016",yes,0,27,0,12435,224,0,N/A,12435,8535,1495,1073089,no,10,   31.35,GenBank,Aspergillus wentii,DTO 134E9,N/A,N/A,12659,N/A,47139,N/A
Penicilliopsis zonata CBS 506.65,FungiDB,GenBank,GCA_001890105.1,"Dec 08, 2016",yes,0,246,0,9869,158,3,N/A,9869,6960,1274,1073090,no,10,   26.09,GenBank,Penicilliopsis zonata,CBS 506.65,N/A,N/A,10027,N/A,27,N/A
Toxoplasma gondii ARI,ToxoDB,GenBank,GCA_000250965.2,"Mar 14, 2016",no,0,2723,0,9958,190,0,N/A,9958,5773,1607,1074872,yes,10,   64.69,GenBank,Toxoplasma gondii,ARI,N/A,5341,10148,N/A,7617,N/A
Toxoplasma gondii COUG,ToxoDB,GenBank,GCA_000338675.2,"Nov 07, 2017",no,4075,105,0,9869,173,0,N/A,9869,5829,1612,1074873,yes,10,   64.97,GenBank,Toxoplasma gondii,COUG,N/A,5322,10042,N/A,5324,N/A
